00000000 UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU 00000000 XF800000
00000019 00000011111111101001110001000011 FC0163BD CC7FA710
0000001A 00000111111111010011100010000110 F802C77A CCFFA710
0000001B 00001111111110100111000100001100 F0058EF4 CD7FA710
0000001C 00011111111101001110001000010111 E00B1DE9 CDFFA710
0000001D 00111111111010011100010000101110 C0163BD2 CE7FA710
0000001E 01111111110100111000100001011100 802C77A4 CEFFA710
00000016 00000000010110001110111101001000 0058EF48 4AB1DE90
00000017 00000000101100011101111010010000 00B1DE90 4B31DE90
00000018 00000001011000111011110100100001 0163BD21 4BB1DE90
00000019 00000010110001110111101001000010 02C77A42 4C31DE90
0000001A 00000101100011101111010010000101 058EF485 4CB1DE90
0000001B 00001011000111011110100100001011 0B1DE90B 4D31DE90
0000001C 00010110001110111101001000010110 163BD216 4DB1DE90
0000001D 00101100011101111010010000101100 2C77A42C 4E31DE90
0000001E 01011000111011110100100001011001 58EF4859 4EB1DE90
0000001E 01001110001000010110111101001110 B1DE90B2 CE9C42DE
0000001E 01100011101111010010000101100100 63BD2164 4EC77A42
0000001D 00111000100001011011110100110111 C77A42C9 CE6216F4
0000001E 01110001000010110111101001101101 8EF48593 CEE216F4
0000001C 00011101111010010000101100100110 1DE90B26 4DEF4859
0000001D 00111011110100100001011001001100 3BD2164C 4E6F4859
0000001E 01110111101001000010110010011000 77A42C98 4EEF4859
0000001C 00010000101101111010011011001111 EF485931 CD85BD36
0000001D 00100001011011110100110110011110 DE90B262 CE05BD36
0000001E 01000010110111101001101100111100 BD2164C4 CE85BD36
0000001E 01111010010000101100100110001000 7A42C988 4EF48593
0000001B 00001011011110100110110011110000 F4859310 CD37A6CF
0000001C 00010110111101001101100111011111 E90B2621 CDB7A6CE
0000001D 00101101111010011011001110111110 D2164C42 CE37A6CE
0000001E 01011011110100110110011101111100 A42C9884 CEB7A6CE
0000001E 01001000010110010011000100001000 48593108 4E90B262
0000001E 01101111010011011001110111110000 90B26210 CEDE9B3B
0000001D 00100001011001001100010000100000 2164C420 4E059310
0000001E 01000010110010011000100001000001 42C98841 4E859310
0000001E 01111010011011001110111101111101 85931083 CEF4D9DE
0000001B 00001011001001100010000100000111 0B262107 4D326210
0000001C 00010110010011000100001000001111 164C420F 4DB26210
0000001D 00101100100110001000010000011110 2C98841E 4E326210
0000001E 01011001001100010000100000111101 5931083D 4EB26210
0000001E 01001101100111011110111110000110 B262107A CE9B3BDF
0000001E 01100100110001000010000011110101 64C420F5 4EC98841
0000001D 00110110011101111011111000010101 C98841EB CE59DEF8
0000001E 01101100111011110111110000101001 931083D7 CED9DEF8
0000001D 00100110001000010000011110101111 262107AF 4E18841E
0000001E 01001100010000100000111101011111 4C420F5F 4E98841E
0000001E 01100111011110111110000101000010 98841EBE CECEF7C2
0000001D 00110001000010000011110101111100 31083D7C 4E4420F5
0000001E 01100010000100000111101011111000 62107AF8 4EC420F5
0000001D 00111011110111110000101000010000 C420F5F0 CE6F7C28
0000001E 01110111101111100001010000100000 8841EBE0 CEEF7C28
0000001C 00010000100000111101011111000001 1083D7C1 4D841EBE
0000001D 00100001000001111010111110000011 2107AF83 4E041EBE
0000001E 01000010000011110101111100000110 420F5F06 4E841EBE
0000001E 01111011111000010100000111110011 841EBE0D CEF7C283
0000001B 00001000001111010111110000011010 083D7C1A 4D03D7C1
0000001C 00010000011110101111100000110100 107AF834 4D83D7C1
0000001D 00100000111101011111000001101001 20F5F069 4E03D7C1
0000001E 01000001111010111110000011010010 41EBE0D2 4E83D7C1
0000001E 01111100001010000011111001011100 83D7C1A4 CEF8507C
0000001A 00000111101011111000001101001001 07AF8349 4CF5F069
0000001B 00001111010111110000011010010010 0F5F0692 4D75F069
0000001C 00011110101111100000110100100101 1EBE0D25 4DF5F069
0000001D 00111101011111000001101001001010 3D7C1A4A 4E75F069
0000001E 01111010111110000011010010010100 7AF83494 4EF5F069
0000001B 00001010000011111001011011010111 F5F06929 CD20F96D
0000001C 00010100000111110010110110101101 EBE0D253 CDA0F96D
0000001D 00101000001111100101101101011010 D7C1A4A6 CE20F96D
0000001E 01010000011111001011011010110100 AF83494C CEA0F96D
0000001E 01011111000001101001001010011001 5F069299 4EBE0D25
0000001E 01000001111100101101101011001101 BE0D2533 CE83E5B5
0000001E 01111100000110100100101001100111 7C1A4A67 4EF83494
0000001A 00000111110010110110101100110010 F83494CE CCF96D66
0000001B 00001111100101101101011001100011 F069299D CD796D66
0000001C 00011111001011011010110011000101 E0D2533B CDF96D66
0000001D 00111110010110110101100110001001 C1A4A677 CE796D66
0000001E 01111100101101101011001100010010 83494CEE CEF96D66
0000001A 00000110100100101001100111011100 069299DC 4CD2533B
0000001B 00001101001001010011001110111000 0D2533B8 4D52533B
